CellLine,Assay,Description,Instrument,Archive,Accession,Sex,Culture,Passage,FileName,FileMD5,ftp_link
HPSI1213i-xuja_2,Wholegenomesequencing,Rawsequencingreads,HiSeqXTen,http://www.ebi.ac.uk/ena/data/view/ERR1901045,ERR1901045,female,Feeder-free,36,21732_1#1.cram,9ddeed0ff09802c810b246bc3d5f965f,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR190/ERR1901045/21732_1%231.cram
HPSI1213i-tolg_6,Wholegenomesequencing,Rawsequencingreads,HiSeqXTen,http://www.ebi.ac.uk/ena/data/view/ERR1860110,ERR1860110,male,Feeder-free,13,20382_4#10.cram,d3603b9e84dc91caee0c17276b6e3527,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR186/ERR1860110/20382_4%2310.cram
HPSI1213i-tolg_6,Wholegenomesequencing,Rawsequencingreads,HiSeqXTen,http://www.ebi.ac.uk/ena/data/view/ERR1859822,ERR1859822,male,Feeder-free,13,20375_4#10.cram,9700da0f8ab57e030fa861cfba2b2ddb,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR185/ERR1859822/20375_4%2310.cram
HPSI1213i-tolg_6,Wholegenomesequencing,Rawsequencingreads,HiSeqXTen,http://www.ebi.ac.uk/ena/data/view/ERR1860302,ERR1860302,male,Feeder-free,13,20384_4#10.cram,3e3b15b05ccabb1cd075cf65f991261e,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR186/ERR1860302/20384_4%2310.cram
HPSI1213i-tolg_6,Wholegenomesequencing,Rawsequencingreads,HiSeqXTen,http://www.ebi.ac.uk/ena/data/view/ERR1859246,ERR1859246,male,Feeder-free,13,20354_4#10.cram,87903465aa66567ff9d500371fcd2b00,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR185/ERR1859246/20354_4%2310.cram
HPSI1213i-tolg_6,Wholegenomesequencing,Rawsequencingreads,HiSeqXTen,http://www.ebi.ac.uk/ena/data/view/ERR1859438,ERR1859438,male,Feeder-free,13,20357_4#10.cram,0bb43d73d5105584e8bd19ec6188e6e5,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR185/ERR1859438/20357_4%2310.cram
HPSI1213i-tolg_6,Wholegenomesequencing,Rawsequencingreads,HiSeqXTen,http://www.ebi.ac.uk/ena/data/view/ERR1860206,ERR1860206,male,Feeder-free,13,20383_4#10.cram,ab7ad7fde0f9201cc6c2b180543104d0,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR186/ERR1860206/20383_4%2310.cram
HPSI1213i-tolg_6,Wholegenomesequencing,Rawsequencingreads,HiSeqXTen,http://www.ebi.ac.uk/ena/data/view/ERR1859150,ERR1859150,male,Feeder-free,13,20353_4#10.cram,900f5489f3fcc810883dacdb2bc92408,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR185/ERR1859150/20353_4%2310.cram
HPSI1213i-tolg_6,Wholegenomesequencing,Rawsequencingreads,HiSeqXTen,http://www.ebi.ac.uk/ena/data/view/ERR1859342,ERR1859342,male,Feeder-free,13,20356_4#10.cram,ef5a3bcd778970e9529b8a87ae153a09,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR185/ERR1859342/20356_4%2310.cram
HPSI1213i-tolg_6,Wholegenomesequencing,Rawsequencingreads,HiSeqXTen,http://www.ebi.ac.uk/ena/data/view/ERR1859726,ERR1859726,male,Feeder-free,13,20364_4#10.cram,16826bdba4466a8865240634c7a404b0,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR185/ERR1859726/20364_4%2310.cram
HPSI1213i-tolg_6,Wholegenomesequencing,Rawsequencingreads,HiSeqXTen,http://www.ebi.ac.uk/ena/data/view/ERR1859534,ERR1859534,male,Feeder-free,13,20359_4#10.cram,27111ade0cb64e3d1ebc3ad01c95bc5a,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR185/ERR1859534/20359_4%2310.cram
HPSI1213i-tolg_6,Wholegenomesequencing,Rawsequencingreads,HiSeqXTen,http://www.ebi.ac.uk/ena/data/view/ERR1859054,ERR1859054,male,Feeder-free,13,20349_4#10.cram,fd5df7b36aefd48e0b298f97708cc2ca,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR185/ERR1859054/20349_4%2310.cram
HPSI1213i-tolg_6,Wholegenomesequencing,Rawsequencingreads,HiSeqXTen,http://www.ebi.ac.uk/ena/data/view/ERR1859630,ERR1859630,male,Feeder-free,13,20363_4#10.cram,c97998f53d300dc9099cdd8bf1dbf250,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR185/ERR1859630/20363_4%2310.cram
HPSI1213i-tolg_4,Wholegenomesequencing,Rawsequencingreads,HiSeqXTen,http://www.ebi.ac.uk/ena/data/view/ERR1859089,ERR1859089,male,Feeder-free,13,20349_7#9.cram,e4c74e29cd9b04501edfbf3bafd78d49,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR185/ERR1859089/20349_7%239.cram
HPSI1213i-tolg_4,Wholegenomesequencing,Rawsequencingreads,HiSeqXTen,http://www.ebi.ac.uk/ena/data/view/ERR1860145,ERR1860145,male,Feeder-free,13,20382_7#9.cram,c5cbffc99350cb56ab37ccde819d8d33,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR186/ERR1860145/20382_7%239.cram
HPSI1213i-tolg_4,Wholegenomesequencing,Rawsequencingreads,HiSeqXTen,http://www.ebi.ac.uk/ena/data/view/ERR1860337,ERR1860337,male,Feeder-free,13,20384_7#9.cram,9a26e5c10216556f28a21eeb758c4ef7,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR186/ERR1860337/20384_7%239.cram
HPSI1213i-tolg_4,Wholegenomesequencing,Rawsequencingreads,HiSeqXTen,http://www.ebi.ac.uk/ena/data/view/ERR1859857,ERR1859857,male,Feeder-free,13,20375_7#9.cram,afc110d99a900d4e1bcded1b2d635e73,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR185/ERR1859857/20375_7%239.cram
HPSI1213i-tolg_4,Wholegenomesequencing,Rawsequencingreads,HiSeqXTen,http://www.ebi.ac.uk/ena/data/view/ERR1859761,ERR1859761,male,Feeder-free,13,20364_7#9.cram,c8ae328a027c48b009504b30b3fcb119,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR185/ERR1859761/20364_7%239.cram
HPSI1213i-tolg_4,Wholegenomesequencing,Rawsequencingreads,HiSeqXTen,http://www.ebi.ac.uk/ena/data/view/ERR1859377,ERR1859377,male,Feeder-free,13,20356_7#9.cram,998a4fd4db6f4a37a91a6c36cf5c1b1e,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR185/ERR1859377/20356_7%239.cram
HPSI1213i-tolg_4,Wholegenomesequencing,Rawsequencingreads,HiSeqXTen,http://www.ebi.ac.uk/ena/data/view/ERR1859473,ERR1859473,male,Feeder-free,13,20357_7#9.cram,36461c2e5b209b80d30129454e156922,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR185/ERR1859473/20357_7%239.cram
HPSI1213i-tolg_4,Wholegenomesequencing,Rawsequencingreads,HiSeqXTen,http://www.ebi.ac.uk/ena/data/view/ERR1860241,ERR1860241,male,Feeder-free,13,20383_7#9.cram,d3fb178696c87269e32a8841c8fe4030,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR186/ERR1860241/20383_7%239.cram
HPSI1213i-tolg_4,Wholegenomesequencing,Rawsequencingreads,HiSeqXTen,http://www.ebi.ac.uk/ena/data/view/ERR1859569,ERR1859569,male,Feeder-free,13,20359_7#9.cram,bbdd7d1d27d7f058acd57f4a9bce1e32,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR185/ERR1859569/20359_7%239.cram
HPSI1213i-tolg_4,Wholegenomesequencing,Rawsequencingreads,HiSeqXTen,http://www.ebi.ac.uk/ena/data/view/ERR1859185,ERR1859185,male,Feeder-free,13,20353_7#9.cram,1b5f186ab297672e036aa970e74d4423,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR185/ERR1859185/20353_7%239.cram
HPSI1213i-tolg_4,Wholegenomesequencing,Rawsequencingreads,HiSeqXTen,http://www.ebi.ac.uk/ena/data/view/ERR1859665,ERR1859665,male,Feeder-free,13,20363_7#9.cram,291ca560b32e1e2346ddb7c71f7001d1,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR185/ERR1859665/20363_7%239.cram
HPSI1213i-tolg_4,Wholegenomesequencing,Rawsequencingreads,HiSeqXTen,http://www.ebi.ac.uk/ena/data/view/ERR1859281,ERR1859281,male,Feeder-free,13,20354_7#9.cram,1803d1be4c2ea59ce96f1f11cf22f47a,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR185/ERR1859281/20354_7%239.cram
HPSI1213i-pahc_5,Wholegenomesequencing,Rawsequencingreads,HiSeqXTen,http://www.ebi.ac.uk/ena/data/view/ERR1859953,ERR1859953,female,Feeder-free,24,20379_7#9.cram,fbd7106e9efd8ee2b027c0d190821576,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR185/ERR1859953/20379_7%239.cram
HPSI1213i-pahc_5,Wholegenomesequencing,Rawsequencingreads,HiSeqXTen,http://www.ebi.ac.uk/ena/data/view/ERR1861297,ERR1861297,female,Feeder-free,24,20414_7#9.cram,29602e21acb2657edea3be5104967afb,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR186/ERR1861297/20414_7%239.cram
HPSI1213i-pahc_5,Wholegenomesequencing,Rawsequencingreads,HiSeqXTen,http://www.ebi.ac.uk/ena/data/view/ERR1860625,ERR1860625,female,Feeder-free,24,20403_7#9.cram,b7c5376bd162e20b44bae60222960d5e,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR186/ERR1860625/20403_7%239.cram
HPSI1213i-pahc_5,Wholegenomesequencing,Rawsequencingreads,HiSeqXTen,http://www.ebi.ac.uk/ena/data/view/ERR1861105,ERR1861105,female,Feeder-free,24,20409_7#9.cram,bc1b1ab4eab8acbeb0d30bc6f25c6f87,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR186/ERR1861105/20409_7%239.cram
HPSI1213i-pahc_5,Wholegenomesequencing,Rawsequencingreads,HiSeqXTen,http://www.ebi.ac.uk/ena/data/view/ERR1861009,ERR1861009,female,Feeder-free,24,20407_7#9.cram,a1d2fa5cbc1005068b7a6397e3d64e06,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR186/ERR1861009/20407_7%239.cram
HPSI1213i-pahc_5,Wholegenomesequencing,Rawsequencingreads,HiSeqXTen,http://www.ebi.ac.uk/ena/data/view/ERR1860913,ERR1860913,female,Feeder-free,24,20406_7#9.cram,60f52727692037bfeeed8f34321dde5e,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR186/ERR1860913/20406_7%239.cram
HPSI1213i-pahc_5,Wholegenomesequencing,Rawsequencingreads,HiSeqXTen,http://www.ebi.ac.uk/ena/data/view/ERR1861201,ERR1861201,female,Feeder-free,24,20413_7#9.cram,07f57849299b5b307ff19300788e17cb,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR186/ERR1861201/20413_7%239.cram
HPSI1213i-pahc_5,Wholegenomesequencing,Rawsequencingreads,HiSeqXTen,http://www.ebi.ac.uk/ena/data/view/ERR1860817,ERR1860817,female,Feeder-free,24,20405_7#9.cram,2073fbae8563de6fa20fc7749315abb3,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR186/ERR1860817/20405_7%239.cram
HPSI1213i-pahc_5,Wholegenomesequencing,Rawsequencingreads,HiSeqXTen,http://www.ebi.ac.uk/ena/data/view/ERR1860433,ERR1860433,female,Feeder-free,24,20386_7#9.cram,97abfad8efcc47d981be1bec68851b61,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR186/ERR1860433/20386_7%239.cram
HPSI1213i-pahc_5,Wholegenomesequencing,Rawsequencingreads,HiSeqXTen,http://www.ebi.ac.uk/ena/data/view/ERR1860529,ERR1860529,female,Feeder-free,24,20387_7#9.cram,442bf7c3fb1f731934ab6f75c71c65e0,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR186/ERR1860529/20387_7%239.cram
